,C,degree,gamma,score
39,1.0,5,auto,-0.028722634188782518
40,1.0,6,scale,-0.028611718022277577
41,1.0,6,auto,-0.028588190814623052
42,1.0,7,scale,-0.028328996970747863
43,1.0,7,auto,-0.028251191053970223
44,1.0,8,scale,-0.028223919286018972
45,1.0,8,auto,-0.028148302146546733
46,1.0,9,scale,-0.028093850577265215
47,1.0,9,auto,-0.02793163744431526
48,10.0,2,scale,-0.02782404413407802
49,10.0,2,auto,-0.02776973822006501
50,10.0,3,scale,-0.02768894589561488
51,10.0,3,auto,-0.02759980612185431
52,10.0,4,scale,-0.027712177969401397
53,10.0,4,auto,-0.02760629604052367
54,10.0,5,scale,-0.027178123197763027
55,10.0,5,auto,-0.02700126396964886
56,10.0,6,scale,-0.02658602413695177
57,10.0,6,auto,-0.026401005311458503
58,10.0,7,scale,-0.02605354790033987
59,10.0,7,auto,-0.025699593025261036
60,10.0,8,scale,-0.024913179529490126
61,10.0,8,auto,-0.024490033295595737
62,10.0,9,scale,-0.023787455642778177
63,10.0,9,auto,-0.023147814369671282
0,0.01,2,scale,-0.07355577258886314
1,0.01,2,auto,-0.07355570049043036
2,0.01,3,scale,-0.07355533096226696
3,0.01,3,auto,-0.07355518396909377
4,0.01,4,scale,-0.07355354019181659
5,0.01,4,auto,-0.0735531367724338
6,0.01,5,scale,-0.07354126154185137
7,0.01,5,auto,-0.07353897344804405
8,0.01,6,scale,-0.07347012613451076
9,0.01,6,auto,-0.07345494389320928
10,0.01,7,scale,-0.07314148063712511
11,0.01,7,auto,-0.0731200180417928
12,0.01,8,scale,-0.07319006455888522
13,0.01,8,auto,-0.07316200896433656
14,0.01,9,scale,-0.07170690187180773
15,0.01,9,auto,-0.07160474011124496
16,0.1,2,scale,-0.07354345254439054
17,0.1,2,auto,-0.07354269440542605
18,0.1,3,scale,-0.07353948138931954
19,0.1,3,auto,-0.07353798670640055
20,0.1,4,scale,-0.07352181928306689
21,0.1,4,auto,-0.07351779274629133
22,0.1,5,scale,-0.07340073783703804
23,0.1,5,auto,-0.07337837030337724
24,0.1,6,scale,-0.07287667727384695
25,0.1,6,auto,-0.07281558421261058
26,0.1,7,scale,-0.07280329984619915
27,0.1,7,auto,-0.07272619989388973
28,0.1,8,scale,-0.07087215524072854
29,0.1,8,auto,-0.0706205711648813
30,0.1,9,scale,-0.06866374529019925
31,0.1,9,auto,-0.06793845760668193
32,1.0,2,scale,-0.07341836953180736
33,1.0,2,auto,-0.07341064738139536
34,1.0,3,scale,-0.07338086856292536
35,1.0,3,auto,-0.07336595941340796
36,1.0,4,scale,-0.0732097253669941
37,1.0,4,auto,-0.07317062873750846
38,1.0,5,scale,-0.07232443077266915
39,1.0,5,auto,-0.07218487651379357
40,1.0,6,scale,-0.07171669910725731
41,1.0,6,auto,-0.07032127597445603
42,1.0,7,scale,-0.06852418647524328
43,1.0,7,auto,-0.06788192273051674
44,1.0,8,scale,-0.06576906247779157
45,1.0,8,auto,-0.06562249185967972
46,1.0,9,scale,-0.0651537410398737
47,1.0,9,auto,-0.06491009050449548
48,10.0,2,scale,-0.07210918399352217
49,10.0,2,auto,-0.07202871825359325
50,10.0,3,scale,-0.07182209842200615
51,10.0,3,auto,-0.07167345375532519
52,10.0,4,scale,-0.0706316754089904
53,10.0,4,auto,-0.0703416316953489
54,10.0,5,scale,-0.06758009916404273
55,10.0,5,auto,-0.06704429570159753
56,10.0,6,scale,-0.06185878796629241
57,10.0,6,auto,-0.06031861987835163
58,10.0,7,scale,-0.06002957563524203
59,10.0,7,auto,-0.05969781149526465
60,10.0,8,scale,-0.061061935474298945
61,10.0,8,auto,-0.05750147960844542
62,10.0,9,scale,-0.0579323198104289
63,10.0,9,auto,-0.057599830392309315
